01-01 09:27:24.979+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -68, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:25.243+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -68, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:25.666+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -67, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:25.787+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -67, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:26.347+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -69, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:26.895+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -68, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:27.439+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -67, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:28.532+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -67, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:29.072+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -66, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:30.174+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -67, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:30.843+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -68, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:30.977+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -70, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:31.383+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -70, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:31.948+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -71, status 1, mac [54:B8:02:83:10:3A]
01-01 09:27:32.352+0530 I/BLE_DEMO_TV(P11389, T11389): wireless_tagging_main.c:67 ----> RSSI CB: rssi -70, status 1, mac [54:B8:02:83:10:3A]
